Date,CUSIP,NAV Growth,Distribution Growth,Total Return
2016-06-01,EQP105,0.00%,0.42%,0.42%
2016-07-01,EQP105,0.00%,0.42%,0.42%
2016-08-01,EQP105,0.00%,0.42%,0.42%
2016-09-01,EQP105,0.00%,0.42%,0.42%
2016-10-01,EQP105,0.00%,0.42%,0.42%
2016-11-01,EQP105,0.00%,0.42%,0.42%
2016-12-01,EQP105,0.00%,0.42%,0.42%
2017-01-01,EQP105,0.00%,0.42%,0.42%
2017-02-01,EQP105,0.00%,0.42%,0.42%
2017-03-01,EQP105,0.00%,0.42%,0.42%
2017-04-01,EQP105,0.00%,0.42%,0.42%
2017-05-01,EQP105,0.00%,0.42%,0.42%
2017-06-01,EQP105,0.00%,0.42%,0.42%
2017-07-01,EQP105,0.00%,0.42%,0.42%
2017-08-01,EQP105,0.00%,0.42%,0.42%
2017-09-01,EQP105,0.00%,0.42%,0.42%
2017-10-01,EQP105,0.00%,0.42%,0.42%
2017-11-01,EQP105,0.00%,0.42%,0.42%
2017-12-01,EQP105,0.00%,0.44%,0.44%
2018-01-01,EQP105,0.00%,0.44%,0.44%
2018-02-01,EQP105,0.00%,0.44%,0.44%
2018-03-01,EQP105,0.00%,0.46%,0.46%
2018-04-01,EQP105,0.00%,0.46%,0.46%
2018-05-01,EQP105,0.00%,0.46%,0.46%
2018-06-01,EQP105,0.00%,0.46%,0.46%
2018-07-01,EQP105,0.50%,0.46%,0.96%
2018-08-01,EQP105,0.00%,0.46%,0.46%
2018-09-01,EQP105,0.00%,0.48%,0.48%
2018-10-01,EQP105,0.50%,0.48%,0.98%
2018-11-01,EQP105,0.00%,0.48%,0.48%
2018-12-01,EQP105,0.00%,0.48%,0.48%
2019-01-01,EQP105,0.00%,0.50%,0.50%
2019-02-01,EQP105,0.20%,0.50%,0.70%
2019-03-01,EQP105,0.10%,0.50%,0.60%
2019-04-01,EQP105,0.20%,0.50%,0.70%
2019-05-01,EQP105,0.20%,0.50%,0.70%
2019-06-01,EQP105,0.20%,0.50%,0.70%
2019-07-01,EQP105,0.29%,0.50%,0.80%
2019-08-01,EQP105,0.29%,0.50%,0.80%
2019-09-01,EQP105,0.29%,0.50%,0.79%
2019-10-01,EQP105,0.29%,0.50%,0.79%
2019-11-01,EQP105,0.87%,0.50%,1.38%
2019-12-01,EQP105,0.29%,0.50%,0.79%
2020-01-01,EQP105,0.29%,0.50%,0.79%
2020-02-01,EQP105,0.38%,0.50%,0.88%
2020-03-01,EQP105,0.00%,0.50%,0.50%
2020-04-01,EQP105,0.00%,0.50%,0.50%
2020-05-01,EQP105,0.10%,0.50%,0.60%
2020-06-01,EQP105,0.00%,0.50%,0.50%
2020-07-01,EQP105,0.19%,0.50%,0.69%
2020-08-01,EQP105,0.09%,0.50%,0.60%
2020-09-01,EQP105,0.09%,0.50%,0.60%
2020-10-01,EQP105,0.09%,0.50%,0.60%
