Date,Price
2007-01-02,7.576095
2007-01-03,7.509599
2007-01-04,7.476349
2007-01-05,7.424099
2007-01-08,7.371848
2007-01-09,7.443098
2007-01-10,7.552345
2007-01-11,7.685345
2007-01-12,7.732842
2007-01-15,7.861093
2007-01-16,7.884842
2007-01-17,7.875341
2007-01-18,7.842092
2007-01-19,7.808843
2007-01-22,7.813596
2007-01-23,7.842092
2007-01-24,7.884842
2007-01-25,7.937084
2007-01-26,7.951344
2007-01-29,7.946585
2007-01-30,7.90859
2007-01-31,7.951344
2007-02-01,8.003592
2007-02-02,8.022589
2007-02-05,8.055841
2007-02-06,8.150837
2007-02-07,8.13659
2007-02-08,8.212584
2007-02-09,8.146088
2007-02-12,8.070086
2007-02-13,8.141335
2007-02-14,8.174589
2007-02-15,8.369329
2007-02-16,8.345584
2007-02-19,8.32658
2007-02-20,8.435832
2007-02-21,8.350332
2007-02-22,8.450081
2007-02-23,8.459574
2007-02-26,8.445333
2007-02-27,8.188835
2007-02-28,8.336081
2007-03-01,8.364585
2007-03-02,8.369329
2007-03-05,8.122334
2007-03-06,8.193584
2007-03-07,8.283831
2007-03-08,8.321833
2007-03-09,8.336081
2007-03-12,8.288581
2007-03-13,8.141335
2007-03-14,8.01784
2007-03-15,8.055841
2007-03-16,8.074832
2007-03-19,8.093835
2007-03-20,8.141335
2007-03-21,8.169833
2007-03-22,8.241084
2007-03-23,8.184087
2007-03-26,8.184087
2007-03-27,8.110655
2007-03-28,8.086664
2007-03-29,8.014677
2007-03-30,7.96668
2007-04-02,7.990676
2007-04-03,8.000281
2007-04-04,8.000281
2007-04-05,8.014677
2007-04-09,8.005072
2007-04-10,7.995475
2007-04-11,7.990676
2007-04-12,7.97148
2007-04-13,7.961884
2007-04-16,8.014677
2007-04-17,8.057866
2007-04-18,8.153855
2007-04-19,8.158647
2007-04-20,8.192241
2007-04-23,8.302625
2007-04-24,8.177847
2007-04-25,8.173042
2007-04-26,8.206647
2007-04-27,8.144252
2007-04-30,8.158647
2007-05-01,8.153855
2007-05-02,8.163448
2007-05-03,8.182641
2007-05-04,8.20184
2007-05-07,8.29783
2007-05-08,8.302625
2007-05-09,8.29783
2007-05-10,8.288227
2007-05-11,8.269028
2007-05-14,8.259432
2007-05-15,8.254637
2007-05-16,8.259432
2007-05-17,8.206647
2007-05-18,8.177847
2007-05-22,8.129855
2007-05-23,8.110655
2007-05-24,7.937887
2007-05-25,7.957081
2007-05-28,7.990676
2007-05-29,8.029069
2007-05-30,8.105857
2007-05-31,8.163448
2007-06-01,8.144252
2007-06-04,8.278628
2007-06-05,8.269028
2007-06-06,8.211441
2007-06-07,8.125051
2007-06-08,8.03867
2007-06-11,8.077063
2007-06-12,7.96668
2007-06-13,8.057866
2007-06-14,8.03867
2007-06-15,8.033866
2007-06-18,7.909091
2007-06-19,7.96668
2007-06-20,7.96668
2007-06-21,7.942685
2007-06-22,7.865903
2007-06-25,7.755517
2007-06-26,7.695277
2007-06-27,7.758432
2007-06-28,7.807012
2007-06-29,7.821587
2007-07-03,7.918751
2007-07-04,7.909032
2007-07-05,8.011053
2007-07-06,8.059638
2007-07-09,8.025631
2007-07-10,8.054775
2007-07-11,8.020769
2007-07-12,8.054775
2007-07-13,8.108218
2007-07-16,8.088783
2007-07-17,8.059638
2007-07-18,8.025631
2007-07-19,8.030485
2007-07-20,7.889601
2007-07-23,7.831304
2007-07-24,7.719562
2007-07-25,7.661267
2007-07-26,7.5301
2007-07-27,7.505805
2007-07-30,7.432939
2007-07-31,7.457224
2007-08-01,7.457224
2007-08-02,7.515526
2007-08-03,7.661267
2007-08-07,7.578682
2007-08-08,7.661267
2007-08-09,7.617544
2007-08-10,7.554382
2007-08-13,7.554382
2007-08-14,7.471801
